Id,Product ID,Type,Air temperature K,Process temperature K,Rotational speed rpm,Torque Nm,Tool wear min,Target,Failure Type
0,7003,2,0.304347826,0.358024691,0.222933644,0.535714286,0,0,1
1,1003,1,0.315217391,0.37037037,0.139697322,0.583791209,0.011857708,0,1
2,1004,1,0.304347826,0.345679012,0.192083818,0.626373626,0.019762846,0,1
3,1005,1,0.315217391,0.358024691,0.154249127,0.490384615,0.027667984,0,1
4,1006,1,0.315217391,0.37037037,0.139697322,0.497252747,0.035573123,0,1
5,7004,2,0.304347826,0.358024691,0.149592549,0.523351648,0.043478261,0,1
6,1007,1,0.304347826,0.358024691,0.227008149,0.53021978,0.055335968,0,1
7,1008,1,0.304347826,0.358024691,0.208963912,0.5,0.063241107,0,1
8,7005,2,0.326086957,0.37037037,0.290454016,0.340659341,0.071146245,0,1
9,7006,2,0.347826087,0.407407407,0.333527357,0.332417582,0.083003953,0,1
10,0,0,0.336956522,0.395061728,0.357392317,0.276098901,0.09486166,0,1
11,1,0,0.358695652,0.419753086,0.148428405,0.556318681,0.114624506,0,1
12,7007,2,0.358695652,0.419753086,0.099534342,0.649725275,0.134387352,0,1
13,7008,2,0.358695652,0.432098765,0.33410943,0.35989011,0.146245059,0,1
14,1009,1,0.358695652,0.432098765,0.504656577,0.217032967,0.158102767,0,1
15,1010,1,0.358695652,0.432098765,0.217694994,0.612637363,0.166007905,0,1
16,7009,2,0.358695652,0.432098765,0.083236321,0.587912088,0.173913043,0,1
17,7010,2,0.369565217,0.432098765,0.140861467,0.574175824,0.185770751,0,1
18,2,0,0.380434783,0.432098765,0.08032596,0.696428571,0.197628458,0,1
19,7011,2,0.391304348,0.444444444,0.27008149,0.394230769,0.217391304,0,1
20,3,0,0.391304348,0.444444444,0.120488941,0.534340659,0.229249012,0,1
21,1011,1,0.380434783,0.444444444,0.164144354,0.563186813,0.249011858,0,1
22,7012,2,0.391304348,0.444444444,0.240395809,0.369505495,0.256916996,0,1
23,1012,1,0.402173913,0.456790123,0.343422584,0.300824176,0.268774704,0,1
24,7013,2,0.402173913,0.456790123,0.228754366,0.460164835,0.276679842,0,1
25,1013,1,0.402173913,0.469135802,0.403376019,0.267857143,0.288537549,0,1
26,1014,1,0.413043478,0.469135802,0.200232829,0.483516484,0.296442688,0,1
27,4,0,0.413043478,0.456790123,0.37427241,0.285714286,0.304347826,0,1
28,1015,1,0.413043478,0.456790123,0.15774156,0.554945055,0.324110672,0,1
29,1016,1,0.402173913,0.456790123,0.305587893,0.361263736,0.33201581,0,1
30,7014,2,0.413043478,0.469135802,0.099534342,0.60989011,0.339920949,0,1
31,1017,1,0.402173913,0.456790123,0.366705471,0.298076923,0.351778656,0,1
32,1018,1,0.402173913,0.456790123,0.146100116,0.611263736,0.359683794,0,1
33,1019,1,0.391304348,0.444444444,0.289289872,0.394230769,0.367588933,0,1
34,7015,2,0.380434783,0.419753086,0.227590221,0.424450549,0.375494071,0,1
35,7016,2,0.380434783,0.432098765,0.165308498,0.615384615,0.387351779,0,1
36,7017,2,0.391304348,0.432098765,0.240395809,0.451923077,0.399209486,0,1
37,1020,1,0.380434783,0.419753086,0.15774156,0.486263736,0.411067194,0,1
38,5,0,0.391304348,0.432098765,0.122817229,0.644230769,0.418972332,0,1
39,1021,1,0.380434783,0.419753086,0.105937136,0.668956044,0.438735178,0,1
40,1022,1,0.380434783,0.419753086,0.112922002,0.571428571,0.446640316,0,1
41,1023,1,0.380434783,0.419753086,0.116414435,0.645604396,0.454545455,0,1
42,7018,2,0.380434783,0.419753086,0.116414435,0.622252747,0.462450593,0,1
43,6,0,0.380434783,0.432098765,0.118742724,0.614010989,0.4743083,0,1
44,7019,2,0.380434783,0.419753086,0.176949942,0.600274725,0.494071146,0,1
45,1024,1,0.380434783,0.419753086,0.186845169,0.622252747,0.505928854,0,1
46,7020,2,0.369565217,0.407407407,0.392898719,0.302197802,0.513833992,0,1
47,1025,1,0.380434783,0.419753086,0.145518044,0.583791209,0.5256917,0,1
48,7,0,0.380434783,0.432098765,0.149592549,0.688186813,0.533596838,0,1
49,7021,2,0.391304348,0.432098765,0.142025611,0.553571429,0.553359684,0,1
50,1026,1,0.391304348,0.419753086,0.985448196,0.010989011,0.565217391,1,3
51,1027,1,0.391304348,0.419753086,0.125145518,0.701923077,0.57312253,0,1
52,8,0,0.380434783,0.407407407,0.191501746,0.549450549,0.581027668,0,1
53,1028,1,0.369565217,0.407407407,0.231082654,0.429945055,0.600790514,0,1
54,1029,1,0.369565217,0.407407407,0.304423749,0.361263736,0.608695652,0,1
55,1030,1,0.380434783,0.419753086,0.200232829,0.506868132,0.616600791,0,1
56,1031,1,0.380434783,0.419753086,0.179860303,0.53021978,0.624505929,0,1
57,1032,1,0.380434783,0.419753086,0.200814901,0.501373626,0.632411067,0,1
58,7022,2,0.380434783,0.407407407,0.286961583,0.353021978,0.640316206,0,1
59,1033,1,0.380434783,0.419753086,0.122235157,0.695054945,0.652173913,0,1
60,1034,1,0.380434783,0.419753086,0.13096624,0.67032967,0.660079051,0,1
61,7023,2,0.380434783,0.407407407,0.246798603,0.472527473,0.66798419,0,1
62,1035,1,0.380434783,0.407407407,0.384749709,0.262362637,0.679841897,0,1
63,7024,2,0.391304348,0.407407407,0.374854482,0.303571429,0.687747036,0,1
64,1036,1,0.402173913,0.419753086,0.206635623,0.478021978,0.699604743,0,1
65,1037,1,0.402173913,0.419753086,0.131548312,0.567307692,0.707509881,0,1
66,7025,2,0.391304348,0.395061728,0.297438882,0.342032967,0.71541502,0,1
67,9,0,0.380434783,0.395061728,0.173457509,0.553571429,0.727272727,0,1
68,1038,1,0.380434783,0.395061728,0.208963912,0.392857143,0.747035573,0,1
69,1039,1,0.391304348,0.407407407,0.140861467,0.850274725,0.754940711,1,3
70,7026,2,0.391304348,0.407407407,0.440046566,0.258241758,0.76284585,0,1
71,1040,1,0.391304348,0.419753086,0.165308498,0.572802198,0.774703557,0,1
72,1041,1,0.391304348,0.419753086,0.116996508,0.557692308,0.782608696,0,1
73,1042,1,0.402173913,0.419753086,0.246798603,0.428571429,0.790513834,0,1
74,1043,1,0.391304348,0.407407407,0.252037253,0.391483516,0.798418972,0,1
75,1044,1,0.380434783,0.395061728,0.122817229,0.589285714,0.806324111,0,1
76,1045,1,0.380434783,0.395061728,0.170547148,0.605769231,0.814229249,0,1
77,1046,1,0.380434783,0.395061728,0.167054715,0.51510989,0.822134387,1,5
78,1047,1,0.380434783,0.395061728,0.133876601,0.65521978,0,0,1
79,1048,1,0.380434783,0.395061728,0.136204889,0.468406593,0.007905138,0,1
80,10,0,0.380434783,0.382716049,0.161233993,0.633241758,0.015810277,0,1
81,1049,1,0.391304348,0.395061728,0.164144354,0.600274725,0.035573123,0,1
82,1050,1,0.391304348,0.395061728,0.16589057,0.508241758,0.043478261,0,1
83,1051,1,0.402173913,0.407407407,0.175203725,0.498626374,0.051383399,0,1
84,1052,1,0.391304348,0.395061728,0.147846333,0.601648352,0.059288538,0,1
85,7027,2,0.402173913,0.407407407,0.370197905,0.315934066,0.067193676,0,1
86,11,0,0.402173913,0.407407407,0.155995343,0.550824176,0.079051383,0,1
87,1053,1,0.402173913,0.407407407,0.218859139,0.384615385,0.098814229,0,1
88,7028,2,0.402173913,0.407407407,0.146100116,0.568681319,0.106719368,0,1
89,7029,2,0.391304348,0.395061728,0.185681024,0.490384615,0.118577075,0,1
90,1054,1,0.391304348,0.395061728,0.340512224,0.302197802,0.130434783,0,1
91,1055,1,0.391304348,0.395061728,0.385331781,0.289835165,0.138339921,0,1
92,7030,2,0.391304348,0.395061728,0.325378347,0.320054945,0.146245059,0,1
93,1056,1,0.413043478,0.407407407,0.164144354,0.538461538,0.158102767,0,1
94,1057,1,0.402173913,0.395061728,0.264260768,0.385989011,0.166007905,0,1
95,7031,2,0.402173913,0.407407407,0.106519208,0.664835165,0.173913043,0,1
96,7032,2,0.402173913,0.407407407,0.236903376,0.432692308,0.185770751,0,1
97,7033,2,0.391304348,0.395061728,0.338766007,0.358516484,0.197628458,0,1
98,1058,1,0.391304348,0.382716049,0.210128056,0.396978022,0.209486166,0,1
99,1059,1,0.380434783,0.382716049,0.206635623,0.557692308,0.217391304,0,1
100,1060,1,0.380434783,0.395061728,0.398137369,0.291208791,0.225296443,0,1
101,1061,1,0.380434783,0.382716049,0.479045402,0.232142857,0.233201581,0,1
102,1062,1,0.380434783,0.382716049,0.225261932,0.505494505,0.241106719,0,1
103,7034,2,0.380434783,0.382716049,0.158905704,0.504120879,0.249011858,0,1
104,1063,1,0.380434783,0.37037037,0.164144354,0.543956044,0.260869565,0,1
105,1064,1,0.380434783,0.37037037,0.246216531,0.375,0.268774704,0,1
106,1065,1,0.380434783,0.37037037,0.161233993,0.614010989,0.276679842,0,1
107,7035,2,0.380434783,0.382716049,0.191501746,0.590659341,0.28458498,0,1
108,12,0,0.391304348,0.382716049,0.263678696,0.396978022,0.296442688,0,1
109,1066,1,0.391304348,0.37037037,0.235157159,0.416208791,0.316205534,0,1
110,1067,1,0.380434783,0.358024691,0.409778813,0.256868132,0.324110672,0,1
111,13,0,0.369565217,0.358024691,0.192665891,0.54532967,0.33201581,0,1
112,7036,2,0.380434783,0.37037037,0.192083818,0.490384615,0.351778656,0,1
113,7037,2,0.380434783,0.358024691,0.185098952,0.523351648,0.363636364,0,1
114,1068,1,0.380434783,0.358024691,0.298020955,0.351648352,0.375494071,0,1
115,1069,1,0.380434783,0.358024691,0.153084983,0.575549451,0.383399209,0,1
116,1070,1,0.391304348,0.37037037,0.230500582,0.416208791,0.391304348,0,1
117,1071,1,0.380434783,0.358024691,0.250873108,0.401098901,0.399209486,0,1
118,7038,2,0.380434783,0.358024691,0.313736903,0.333791209,0.407114625,0,1
119,1072,1,0.369565217,0.345679012,0.174039581,0.506868132,0.418972332,0,1
120,1073,1,0.391304348,0.37037037,0.154249127,0.561813187,0.42687747,0,1
121,1074,1,0.391304348,0.37037037,0.227008149,0.513736264,0.434782609,0,1
122,1075,1,0.402173913,0.382716049,0.082654249,0.644230769,0.442687747,0,1
123,1076,1,0.391304348,0.37037037,0.220023283,0.543956044,0.450592885,0,1
124,1077,1,0.391304348,0.37037037,0.325378347,0.351648352,0.458498024,0,1
125,1078,1,0.391304348,0.358024691,0.228172293,0.39010989,0.466403162,0,1
126,1079,1,0.402173913,0.358024691,0.09371362,0.778846154,0.4743083,0,1
127,1080,1,0.391304348,0.358024691,0.142607683,0.586538462,0.482213439,0,1
